"Index", "Year", "Age", "Name", "Gender", "Movie"
1, 1928, 22, "Janet Gaynor", "Female", "Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans"
2, 1928, 44, "Emil Jannings", "Male", "The Last Command, The Way of All Flesh"
3, 1929, 37, "Mary Pickford", "Female", "Coquette"
4, 1929, 41, "Warner Baxter", "Male", "In Old Arizona"
5, 1930, 28, "Norma Shearer", "Female", "The Divorcee"
6, 1930, 62, "George Arliss", "Male", "Disraeli"
7, 1931, 63, "Marie Dressler", "Female", "Min and Bill"
8, 1931, 53, "Lionel Barrymore", "Male", "A Free Soul"
9, 1932, 32, "Helen Hayes", "Female", "The Sin of Madelon Claudet"
10, 1932, 47, "Wallace Beery", "Male", "The Champ"
11, 1933, 26, "Katharine Hepburn", "Female", "Morning Glory"
12, 1933, 35, "Fredric March", "Male", "Dr. Jekyll and Mr. Hyde"
13, 1934, 31, "Claudette Colbert", "Female", "It Happened One Night"
14, 1934, 34, "Charles Laughton", "Male", "The Private Life of Henry VIII"
15, 1935, 27, "Bette Davis", "Female", "Dangerous"
16, 1935, 34, "Clark Gable", "Male", "It Happened One Night"
17, 1936, 27, "Luise Rainer", "Female", "The Great Ziegfeld"
18, 1936, 49, "Victor McLaglen", "Male", "The Informer"
19, 1937, 28, "Luise Rainer", "Female", "The Good Earth"
20, 1937, 41, "Paul Muni", "Male", "The Story of Louis Pasteur"
21, 1938, 30, "Bette Davis", "Female", "Jezebel"
22, 1938, 37, "Spencer Tracy", "Male", "Captains Courageous"
23, 1939, 26, "Vivien Leigh", "Female", "Gone with the Wind"
24, 1939, 38, "Spencer Tracy", "Male", "Boys Town"
25, 1940, 29, "Ginger Rogers", "Female", "Kitty Foyle"
26, 1940, 34, "Robert Donat", "Male", "Goodbye, Mr. Chips"
27, 1941, 24, "Joan Fontaine", "Female", "Suspicion"
28, 1941, 32, "James Stewart", "Male", "The Philadelphia Story"
29, 1942, 38, "Greer Garson", "Female", "Mrs. Miniver"
